L_LatVent,R_LatVent,L_thal,R_thal,L_caud,R_caud,L_put,R_put,L_pal,R_pal,L_hippo,R_hippo,L_amyg,R_amyg,L_accumb,R_accumb
8147.3,6566.7,6295.7,6119.9,3641.9,3443.8,5138.6,4508.8,1332.1,1245,4071.5,4106,1395.5,1323.5,359.9,548
6337.8,8286.9,9416,7380.6,3930.4,3712.6,6852.2,NA,1456.6,1755.2,5039.3,5031.8,1424.4,1460.4,491.6,665.6
6034.1,5121,8731.7,7236.8,4055,3914.2,5548.8,5229.7,1432.8,1485.2,4553,4379.6,1348.8,1798.9,525.4,685.6
9118.3,9162.3,8242.5,7041.2,4255.2,3956.3,5892.8,5613,1559.2,1777.7,4652.2,4402.4,1462.8,1498.7,581.8,733.4
11853.8,12607.3,5965.5,6597.1,3488.1,3588.2,3408.2,5033.6,1471.3,1648.2,NA,4340.4,NA,1573.6,396.7,526.7
3764.4,3230,6628.2,5858.2,2865.4,2793.9,4617.3,4526.7,1419.2,1305.8,4251.5,4037.5,1135,1272.9,478.7,447.8
3829,3253.8,8828,7694.8,3728.1,3627.9,4829.4,4715.5,1279.9,1242.9,4095.4,4256.5,1370.1,1409.4,571,725.2
3274.8,2748.7,7512,7073.6,3682.2,3630.1,5630.8,5471.4,1160.5,1246.4,2996.9,4015.3,1236.2,1375.9,494.1,609.4
14577.1,12486.1,6989.3,6772.5,3993.5,3840.2,5840.3,5925.9,1536.6,1525.5,3403.8,3680.9,1135.5,1325.8,412.9,494.2
9956.4,6620.3,8294.2,7329.9,4286.2,4087.1,6962.6,6602.7,1755.9,1992.4,3962.9,4410.8,1220.4,1136,578.8,686.4
3806.6,4842.3,9039.7,8714.7,4072.9,4225.7,5468,4968.2,1237.6,1224.9,4819.1,4708.1,1377.2,1461.3,671,629.2
9767.6,9515.1,7301.8,6917.6,3312.1,3532.1,5484.3,4695.3,1416.3,1441.4,4234.2,3912.2,1523.9,1338.5,638.8,663.8
4163.6,4403,8305.4,6747.5,3706.1,3690.7,5914,6320,1420.4,1621.4,4758.4,4613.6,1297.4,1647.4,605.7,540.8
5033.6,4013.2,7229.3,6427.2,2816.8,2941.5,4084.5,4768.8,1140,1227.2,4029.9,4011.4,1486,1541.9,408.4,596
6149,7556.4,7621.1,6524.9,4130.2,4173.8,5544.8,5535.6,1436.1,1608.7,4421.5,4326.9,1456.2,1505.2,656.4,609.4
7733.9,5541.4,10041.4,9013.6,4053.6,4098.3,4517.2,5220.5,1429.7,1498.9,5265.2,5377.9,1667.2,1852.4,618.9,673.3
8569,8964.4,6861.4,6141.8,3589.5,3520.6,5236,4959.8,1253.7,1319.9,4609.9,4561.9,1584.6,1394.9,566.8,525.2
6656.4,7930.1,7614.1,6911.6,3251.8,3269.5,4562.7,4667.4,1247.9,1401.1,4293.7,4557.7,1358.6,1313.6,496.4,463
7236.7,5103.3,9574.9,7847.3,4037.7,3622.9,5812.3,5984,1479.2,1525.1,4825,4841.9,1483.3,1685.5,399.5,498.5
6172.3,6297,10991.7,9743.7,4134.6,3746.5,4787.9,4669.5,1108.4,1013,4771.6,4920.1,1383.3,1503.9,499.7,576.3
2961.2,2725.7,7186,6232.8,3245.3,3010.4,5245.2,5023.6,1251.2,1378.8,4307,4328.9,1327.1,1436,442.5,637.9
2261.2,2056.4,8265.4,6643.2,3313.6,2944.2,5426,5123.9,1233.2,1367.4,3937.9,3873.3,1347.9,1340.1,720.3,699.7
10555.2,12817.7,8186.7,6313.1,3589.8,3327.5,5353,4934.8,1063.9,1496.4,4542.2,4432.1,1260.9,1431.1,511.3,481.5
5116.1,4606.4,7516.2,6936.5,3665.3,3266,4762,4116.1,1069.3,927.7,4013.5,4111.4,1296.1,1454.9,375.2,593.9
4536.3,4923.7,9205.8,7304.1,3728.7,3483.1,4623.1,5127.5,989.3,1313.3,4782.1,4450.3,1291.3,1250.9,526,502.6
5475.9,4393,6843.6,6345.1,3154.6,3100,5580.1,4959.2,1321.2,1336.7,4285.3,4520.2,1198.9,1590.5,529.7,506.8
4597,6201.7,11748.7,9795.6,4491.5,4208.4,5860.8,5740,1775.6,1782.2,4433.5,4561.9,1588.2,1616.9,686,702.5
4368.1,3677,8035.3,6599.1,3234.2,2891.2,5366.3,5173.5,1047.8,1345,4458.6,4051,1347.7,1404.6,633,621.9
3774.1,4940.5,10462.4,9791.9,4564.7,4422.1,5639,5440.5,1513.4,1423.4,5267.9,5261.5,1375.8,1733.4,688.1,653.6
4936.9,6093.1,8537.5,7867.3,3734.8,3898.5,6683.2,6783.6,1626.5,1705.4,5440.1,4935.8,1420.8,1693.1,549.5,684.6
4657.2,5907.4,9511,7884,3382.5,3350.1,5706.4,5395,1628.1,1609.1,4965.2,4897,1418.8,1377,664.1,677.6
8081.8,7136.6,7866.5,6012.5,3290.5,3112.5,5054.8,3702,1201.2,1385.2,4093.3,4227.6,1437.3,1482.8,473.8,530.8
6566.7,7537.8,7732.9,5980,3073.9,3216.1,4896.7,4936.2,903.1,1310,3515.4,4514.5,1261.2,1564.5,442.8,550.5
2274.1,2384.2,9169.7,8620.8,3141.9,3332.3,5740.4,5722.6,1422,1387.1,5401.6,5499.9,1907,2042,667.9,697.6
10736.5,11886.4,8276.1,6141.5,3924.5,3233.4,5296.9,4606.9,1293.3,1342.4,4446,3157.2,1313.5,985.3,610.6,670.9
8697.8,6013.4,7771.5,6342.9,2475.9,2266.1,4518.8,5078.6,1164.7,1201.2,3879.4,2987.1,1307.2,1172.9,561.2,432.5
4030.6,3418.7,7691.2,6672.9,2634.4,2614.8,5073.5,4438.9,1061.8,1261.3,4704.1,4699.7,1446.5,1472.8,444.1,575
4120.8,3396.2,7705.6,6919.9,3393.6,3237.6,5854.9,5601.7,1452.3,1459.8,4291.7,4034.8,1467,1435.2,660.3,685.4
5910.7,5362.9,7119.1,5723.6,3566.7,3417.4,4994.3,4623.8,1349.1,1396.6,4416.7,4596.2,1282.6,1283.5,497.9,426.6
7796,6809.9,7482.6,6595.6,3377.8,3299.4,5069.1,4786.4,1218.8,1351.7,4910.3,5033.9,1295.1,1183.5,457.7,563.6
5351.5,6087.3,8580.7,7529.1,3186.9,3119.5,5305.3,4353.8,1116.2,1221.4,4618.5,4435.7,1223.2,1267.1,452.8,533.9
20174.2,13178.8,6727,6298.5,4413.4,3951.2,5427.7,5280.1,1291.6,1283.8,4192.8,4553,1432.5,1578.8,433.3,602.5
3938,3680.8,6656,5831.9,2655.4,2772.8,4063,4137.5,1136.3,1240.3,3386.7,3579.9,1025.4,1039.5,440.5,494.3
12044.8,9723.5,7203.5,7257.8,4297.8,3641.9,5168.1,5117.4,1391.8,1443.1,3290.4,4815.5,1279.7,1597,577.4,547.7
5759.1,4910.3,6859.9,6133.8,3423.8,3488.9,5124.6,5039.6,1241.9,1445.4,3761.6,4076.7,1085.4,1157.1,481.8,579.1
7821.3,6523.9,7734.7,6384.4,3632.8,3342.4,5157.7,5254,1044.4,1331.9,4070.2,4428.5,1223.3,1268.8,541.9,734.9
3147.5,3622,8131.1,7126.5,3261.9,3224.1,5489.9,5507.4,1556.5,1600,3825.4,4521.6,1080.1,1340.5,390.1,495.9
6858.8,5760.5,5927.9,5259.7,2912.8,2911.4,4784.4,4403.2,1146.7,1148,3985,4247.3,1352.3,1105.1,473.4,519.7
12363.5,13919.8,6132.3,4818.3,3729,3386.8,4961.3,4055.8,1284.3,1301.3,4021,2576.5,1113,945.7,506,382.4
4754,4971,7331,6493.5,3215,3072.7,4976.5,5130.1,1219.1,1207.5,4665.9,4584.8,1524.9,1506.7,631,577
4590.3,2871.9,8739.7,8179.9,3395.2,3138.2,6502.1,6012.8,1767.2,1611,4904.1,4764.6,1466,1535.1,520.8,604.3
6805.8,6892.5,6571.3,5572.7,2869.2,2790.7,4855.2,4500.9,1112.5,1259.4,4013.8,3210.8,1190.2,1279.2,544.2,578
2017,2057.1,7701.5,6777.9,3575.9,3419.7,5649.1,5156.7,1291.3,1356,4382.4,4160.9,1362.6,1434.8,569.4,619.5
5623.7,7791.5,8444.1,6343.1,3433.8,3577.4,4820.7,4655.3,1044,1405.5,2894.3,3602.8,860.8,1458.3,476.5,534.7
4206.3,3629.8,7021.6,6496.9,3219.9,2903,5393.1,4715.5,1322.8,1295.5,4048.9,4561.2,1328.7,1481.2,531.7,606
7030.6,6432.6,7084.1,6230.1,3613,3308.2,4498.9,4353.7,1102,1252.8,3068.7,4358.3,1251.8,1409.7,512.1,570.9
8884.3,3404.3,6850.8,7404.5,3676.4,3215,5397.8,5204.9,1345.9,1275.7,2702.7,4494.4,1197,1532.7,582,642.9
4421.1,1875.4,8114.8,7391.7,3395.2,3189.3,5026.5,4772.9,1226.1,1283.5,4410.9,4489.7,1318.8,1552.6,581.7,524
3566.1,3608.9,7979.9,6801,3006.3,2901.7,5263.3,5204.1,1255,1196.7,3694.1,4125.5,1378.9,1669,537.8,520.3
4194.9,4637.7,7468.5,5376.3,3087.9,2941.3,4247,4134.5,1083.9,1182.8,3612.4,3445.6,1276.5,1363.3,702.3,705.7
8382,6370,7584,7202,3654.2,3503.4,7417.7,6881.3,1680.6,1518.3,4017,4208.8,1414.7,1216.9,661.3,704.9
4369.4,5262.2,8201.7,6643.1,3585.1,3432.5,4747.8,5252.3,1208.7,1300.4,4000.9,4192.6,1046,1310.4,467.2,559.2
6953.2,6225.5,9025,7676.8,4206,4206.2,5978.9,6347.3,1779.7,1774.9,5166.1,4908,1334.7,1432.4,586.2,680.5
6962.4,4656.8,9766.7,8301.8,3646.6,3473.1,5171.7,5987.4,1437,1472.4,3244.7,5054.1,1171.8,1555.9,625.5,718.9
4052.2,3344.1,6596.7,5644.6,2834.6,2628.5,5515.4,5156.7,1173.5,1332.9,3693.1,3604.9,1048.6,1267.2,652.5,672
3122.1,2646.7,8909.4,8071.3,3794.3,3596.1,6396.1,6214.9,1713.2,1711.3,4742,5066.5,1744,2199.8,696.8,678
2196.2,2199.3,7667.9,6592.5,2800.8,2677.5,5003.8,5075.5,1087.3,1323.6,4045.7,4371.5,1153.1,1354.9,640.2,433.1
2700.4,3342,8196.3,7450.5,3576.8,3291.6,6277.9,5780.9,1558.7,1553.4,4959.7,2681.5,1396.5,1304.6,601.4,490.7
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7803.7,7871.9,8373.5,7322,4449.8,4112.4,5204.5,5675.7,1415.6,1469.1,4458.6,4439.2,1257.1,1250.7,548.6,613.3
4289,4870.5,7946.6,6676.3,3746.7,3636.3,5418.4,5271.1,1253.2,1376.1,NA,4703.8,1669.3,1667.7,497.9,545.9
7851.4,6091.4,5588.7,5348,2313.1,2094.4,2854.2,3039.4,929.2,958.6,3243.5,3815.6,947,1066.1,317.3,284.1
2268.6,1842.9,8280.7,7362.6,3599.1,2949.4,4897.4,4907.2,1505.9,1270.5,3961.2,2821.4,1322.1,1366.5,616.1,556.5
6203.8,6893.7,8247.5,7296.9,4576.9,4363.7,5815.8,5881.4,1270.2,1436.4,4493.7,4275.3,1419.6,1347.3,561.1,702.6
5515.7,6519,11294,9619.6,4847,4665.6,NA,6707.8,1808.9,1864.2,5222.9,5033.2,1757.3,1664.1,622,727.4
4748.1,9073.5,8272.9,6702.4,3737.7,4056.7,4625.7,4870.9,1231.7,1308.2,5015.5,4932.4,1354.5,1587.9,618.8,550
4990.6,4218.4,7119.4,6397.6,3404,3434.2,3888.8,3658,1059,987,3917.3,2837.1,1266.1,1151.5,520.3,460
6373.5,12611.5,9264.2,8566.5,3808.4,3831.5,5335.6,4874.2,1571.2,1462.7,4558.8,4586.6,1404.8,1921.5,579.6,430.5
5515.1,3665.5,8597,7561,3550.4,3328.5,5823,5510.1,1394.9,1341.9,4362.6,3203.3,1404.5,1569.9,610.9,624.7
12766.1,10223.1,6101.3,5160.2,2967.3,2673.4,3914.4,3957.2,873,1090.8,4308.6,4199.4,1205.5,1424,482.5,447.7
6003,5828,7680.7,6224,2854.1,2664.3,4679.3,4479.6,956,1385.8,4592.8,4444.5,1454.1,1251.2,386.3,636.4
5417.5,5470.7,7065.7,6576.4,3641,3666.6,5148.5,4623.1,1410.7,1423.3,3988.5,4038.8,1350.5,1377.7,617.2,704.4
6096.8,4269.3,7733.5,7068,3037.6,2878.2,4800.5,4943.6,1286.4,1383.7,3710.2,4300.1,1604.7,1384,537.3,589.9
14186.3,8621,7655.8,6400.3,3389.5,3190.8,4516.2,4287.3,1154,1213.9,4641.2,3374.2,1380.6,1301.2,617.6,482.7
16091.2,12712.3,8615.3,7682.6,3891.8,3644.3,5236.9,5225.6,1272.8,1368.2,4058.1,4357,1467.1,1670.7,609.6,595.5
5100.6,5091.2,8515.7,7501.2,4124.5,3767.9,5980.8,5920.4,1517.7,1514,4782.2,4840,1542.2,1582.5,473.7,539.2
10330.7,7827.5,8121.3,7048.4,3650.9,3771.8,4610,4247.8,1273.2,1293.3,4019,4570.5,1375.1,1457.5,457.5,471.2
7993.9,6095,7201.7,6447,3907.3,3847.8,5702.6,5492.2,1435.8,1452.6,3593.8,3316.8,1479.3,1487.3,596.4,668.5
8190.4,8858.9,8884.1,7591.3,4557.4,4219.3,4554.8,5166.9,1334.9,1407,5322.7,5120.8,1467.7,1708.7,567.4,707.9
26214.4,25439.9,8177.5,6365.3,5489,4269,5349.9,4638.6,1580.9,1562.8,5366.5,4787.9,1917.6,2190.7,547.7,553.4
2614.9,2527,6908,5884.1,2823.5,2450.5,5197.9,4583.9,1142.5,1193.7,4372.3,4074.1,1318.8,1413.9,497.7,473.3
3570.6,5834.6,9394.9,8321.3,4834.2,4869.5,6985.7,6586.4,1858.1,1752.1,4568.4,4909.5,1728.6,1649.4,680.6,812.7
3408.3,3920.7,9318.8,7990.5,4005.8,3587.9,5215.4,5468.6,1366,1436.4,4660.1,4458.5,1116.1,1366.9,594.8,663.2
3475.7,3874.5,8461.7,7446,3183.1,3153.7,5718.5,5389.1,1211.9,1478.1,4216.5,3121.7,1424,1505.8,632,621.1
5020.3,5278.6,8901.6,8688.2,4078.3,4040.1,6022,5408,1578.6,1475,4583.3,4377.9,1156.1,1254.9,767.3,772
4149.4,4196.2,8158.5,6807.4,3240.1,3112.1,4980,5511.5,1121.7,1275.4,3531.6,4243.8,1373.2,1393.3,677.7,686.4
4356.9,4047.6,9735.7,7674,3830.4,3637.1,5676.5,5799.3,1166.1,1623.9,4965.2,5033.7,1713.7,1702.2,762.8,889.6
2951.4,2025.4,7754.6,6930.2,3440.4,3006.8,5418.8,5166.9,1449.4,1473.1,3354.9,3777.6,922.8,1424.5,560,589.9
6468.1,3403,6251.1,5828.1,2660.9,2884.9,4867,4535.9,1125.6,1301.8,2451.4,3869.4,896.3,1144.2,333.2,483.8
4477.3,5534.7,7163.4,5746,3223.5,3182,4772,5073.8,1104.9,1293.5,4309,4257.9,1261.5,1425.8,760.1,630.6
14562.4,10130.5,7756.3,6955.5,4095.3,3643.9,6072.8,5747.9,1663.9,1417.6,4847,3133,1655.6,1618.2,466.2,626.3
5235.6,4239.7,7678,6668.7,3312.3,3170.3,5720.4,5401.8,1449.4,1298.7,4106.1,2714,1579.7,1641.3,461.5,598.9
11058.7,12258.2,6167.3,4727.1,2986,2738.2,3629.3,3137.1,967.5,672.4,3746.5,2902.1,1292.8,800.9,331.3,379.5
4311.3,6000.6,8213.8,6227.8,3479.8,3460.2,5944.6,6664.5,1261,1719.8,4728.7,4488,1540.5,1695.3,633.9,544.2
5137.5,5248.3,9264.2,7949.4,3597.1,3592.1,6082.5,5433.7,1168.1,1515.9,4871.4,4872,1513.6,1584.4,595.3,527.6
6050.8,4448.8,8421.4,7098.8,3508.5,3276.5,4774.2,5011.1,1185.2,1561.3,4578.7,4517.2,1208,1293.3,550.8,624.8
3868.3,3868.2,9351.9,8123.2,4205.4,4460.9,5865.6,5601.1,1455.5,1668.9,4729,4504.8,1399.4,1630.2,763.1,730.9
11095.3,11631.1,8414.5,7591.5,4314.8,4346.5,5785.3,5116.5,1126.6,1398.3,4295.3,4338.2,1430.6,1547.6,486.7,540.9
1812.7,2183.7,9049,7519.5,2942.5,2790,4302.5,4907.9,1002.9,1180.4,5162.4,5027.9,1370.6,1467.4,593.4,590.6
9307.4,7253.3,7523.1,6133.3,3969.2,3700.5,6046,5712.2,1734.8,1767.7,4984.7,4851.9,1320.2,1417.4,579.7,632.5
8325.2,13692.6,8923.9,7070.4,3819.5,3897.6,3742.2,4134.6,1151.8,1387.2,3430.4,4522.1,1592.5,1433.4,441.5,565.3
4767.3,4919.4,8868.7,7436.8,3831.3,3578.2,4902.9,5290.5,1298.4,1405.5,4022.6,4584.1,1258.7,1084.1,472.9,456.9
5291.9,4119.8,7581,6605,3403.6,2977.1,5403.9,4906.1,1224.3,1321.7,4511.7,4758.3,1412.3,1559.6,489.4,502.1
5475.5,4179,7171,6268.2,2951.4,2967.4,4671.7,4545.8,1221.2,1278.1,4539.7,4518.9,1359.3,1369,509.6,508.9
2284.3,1681.9,6902.7,5827,2348.5,2357.2,5441.8,5297.1,1081.7,1280.2,3764.6,3824.6,1013.5,1247.9,499.2,487.7
2258.3,1935.6,8198.6,7131.3,2991.3,2780.1,5041.6,4556.7,1263.3,1432.2,4416.7,4510.9,1248,1676.4,684.2,421.9
8354.1,8954.6,7375.5,6287.6,3550.7,3399.6,5853.9,5513,1392.3,1325.1,4521,3062.4,1520.5,1468.5,652.5,432.6
5411.4,4456.5,8412.6,7509,3893.9,3722.1,6122.3,5779.9,1310.7,1631.2,4744.3,4571.3,1458.8,1395.5,540.1,655.8
10814.4,13162,7874.2,6842.4,2999.3,3197.4,4499.9,4779.7,1030.9,1315.5,4467.4,4495.7,1421.4,1551.8,382.5,407.3
6659.6,4944,7969.6,7686.5,3543.9,3416.4,6086.2,6239.9,1557.4,1544.5,4264.8,4094.6,1245.4,1438.3,484.1,574.2
2555.5,3079,7299.6,6946.7,3405.2,3314.9,4425.9,4834.4,1709.8,1295.5,4013,4106.5,1263,1339.1,835.4,861.8
3976.2,4126.4,9783.8,8028.9,3404.6,3503.2,5086.6,5172.7,1066.4,1374.5,4395.5,4431.9,1406.7,1624.6,569.2,643.6
10353.3,6523.6,6929,7067.5,3324.3,3242.7,5732.2,5447,1507.6,1445.9,3796.5,3739.4,1202,1174.1,547.6,519.4
2700.5,3367,8142.4,6251.9,3105.9,3371.9,5239,5198.1,948.3,1303.6,3403.7,3389.4,1253.5,1083.6,585.2,602.4
5113.5,4928,7767,6846.5,4210.5,3909.6,5973.3,5792.4,1771.4,1617.6,5214.2,4739.7,1269.7,1616.4,590.1,654.6
7407.7,6609.3,7084.6,6120.3,3144.4,2985.8,4263.4,4446.6,1105,1255.6,3125,4356.9,1032.4,1474,377.6,392.6
17532.7,15118.4,7417.2,6232.7,4187.6,4057.6,4824.9,4701.1,1323.6,1274.4,4545.1,4592,1511.2,1793.2,355.4,423.3
5820.5,7369.8,6398.4,5087.9,2923.4,2858.4,4578.2,4596.9,1157.3,1140.6,4262.9,4080.3,1440.9,1643.5,532.8,695.8
2704.4,2651.7,6754.7,5805.5,3721.3,3933.5,5984.1,5402,1637.4,1432.1,2707.8,4193.9,990.4,1245,739.6,654.4
5323.6,4398.8,8225.3,8117,3985,3561.4,5404,5227.1,1494,1582.3,4271.8,4771.4,1407.4,1508.6,454.4,591.3
5100.2,5048.4,8688.3,7594.5,3511.9,3408.6,5992.5,5362,1340.8,1576.7,4750.2,4514.1,1101.1,1269,425.8,643.1
11112.7,8165.8,8440.7,7800.7,3817.8,3374.9,5905.5,5330,1521,1495.3,4618.6,4480.4,1470.6,1559.6,654.9,678.4
6029.7,4554.1,6341.3,5151.1,2816.7,2888.9,4282.4,4157,826.2,1144.5,4045.6,3874.5,1206.7,1563.4,421.6,553.4
5614.1,4610.5,8578.8,8992.3,3971.9,4386,4726,5318.2,1336.1,1434.6,3487.4,4567.7,1047.7,1569.4,673.9,614.7
5188,4951.5,8818.6,8223.4,3879.6,3754.8,5927.3,5859.1,1336.6,1533,4959.4,4920.6,1466.5,1582.1,541.5,506.5
6202.5,7192.5,7928.4,6641,3906.9,4089.6,6310.8,6248.6,1548.4,1718.2,4703.2,4886,1508.6,1706.8,686.7,759.6
5246.6,4210.2,6893,6351.8,3090.1,2897.3,4587.8,4320.5,1154.7,1303.9,3075.8,3768.3,861.4,1034.6,673.5,479.3
3649.2,4844.4,8070.2,4777.5,3392.5,3049.1,4723.8,4542.9,983.3,1104.4,4658,2665,1390.1,1244.7,596.1,463.1
4752.2,3261,8074.7,6714.5,4267.2,4117.7,6206.9,6155.6,1121.2,1439.4,4389.7,4690.7,1373.2,1402.4,713.9,604.2
10921.4,12339.2,9109.5,7561.4,4428.3,4528.6,6094.4,5600.1,1482.1,1618.8,5008.2,4933.6,1671.6,1624.1,496.1,504.6
13173.4,12960.7,11523.3,10014.3,6233.8,6057.2,7617.7,7738.8,2118.9,2021,6110,6509.8,2185.2,2560.8,741.4,937.7
5162.1,8704.2,5413.8,5084.6,2430.4,2425.2,4133.9,3494.1,966.2,1094.6,3448,2052.9,868.9,874.2,439.4,285
8859.6,9424.9,7095.6,6476.1,3229.9,3432.1,5535.6,4806.9,1297.7,1282.2,4023.8,3975.3,1158.8,1133.7,432.8,482.5
5911,3735.3,7364,6063.3,3752.2,3500.2,5514,4861.1,1366.6,1591.4,4326.8,2862.3,1424.1,1481.2,398,599.8
4571.3,4072.9,7955.4,7274.9,3513.7,3559.5,5570.2,4998.1,1641.1,1585.9,4180.3,3932.7,1625.1,2546.2,508.3,522
5560.7,7619.5,7782.8,5474.8,2910.5,3113.5,4794.5,5303.8,868.4,1643.4,3766.4,3665.1,1431.1,1675.2,700.2,560.5
2961.7,3561.3,6681.9,6694,3198.8,3435.6,6576.1,6087,1973.9,1799.3,3954.4,4185.6,1566.8,1651.7,664.2,620.6
4071.4,3644.6,8522.4,7321.1,3275.3,4331.3,6201.8,6582.8,1317.4,1468.2,4463.1,4090,1471.1,2057.6,462.1,712.2
7915,6388.7,6525.8,6079.2,3063.8,3140.4,5181.5,4968.8,1599.4,1629.9,3573.6,3714.9,1508.2,1877.5,507.4,588.8
15234.1,7784.5,8011.5,7576,4101.6,4309.9,7549.4,6937.8,1638.9,1791.4,5082.1,5422.6,1990.9,2240.9,924.1,923
6498.6,11571,7004.3,7004.2,4201.7,4521.4,7302.4,7311.6,2092.1,2010.2,4657.8,4207.1,2024.6,2185.8,790.7,683.3
4847.2,4019.4,7566.4,6742.1,3532.4,3758.6,6821.2,6230.2,1383.1,1816.9,4114.5,4420.3,1469.5,1667,611.9,653.1
2822.9,3600.9,8371.1,6913.2,3392.4,3495.7,5725.3,5940.5,1554.1,1615,4533.3,4634.6,1850.9,2035.6,775.1,708.9
7950.9,6126,6946.2,6999.3,3553.6,3631.6,6621.5,6430.1,1653.6,1645.7,3710,4050.4,1580.2,1735.6,789.7,830.8
10039.4,10356.5,9091.4,7481.9,4296.7,4707.6,5797.5,5122.6,1308.7,1669.5,5614.2,5523.9,2076.1,1890.9,717.9,710.7
8132.3,6879,7542,7606.3,4222.7,4374.2,6932,6894.7,1961.6,1949.6,4580.6,4317.3,1825.4,2056.6,769.9,797.6
2115.5,2086.5,7846.2,6810.6,2784.6,3263.5,5076.3,4691.4,1360.3,1435.3,3621.9,3882.9,1436.7,1608.2,458.3,528
7188.7,7276.3,9475.4,8195.6,4175.9,4175.2,5506,5901.4,1440.1,1570.9,5224.3,5110.1,2131.9,2172.4,704.9,791.1
4144.2,4310,8328,7174.6,3523.4,3557.4,6585,6105.3,1589.4,1612,4864.7,4357.3,1672.6,2140.3,701.9,721.6
6674,4309.4,8024.9,7497.7,3952,4034.6,6758.7,6340,1667.8,1728.5,4644.8,4853.1,1785,1772.1,730.9,792
6121.2,4672.8,8671.3,7261.7,4043.7,3642.5,6464.3,5776.5,1481.9,1666.4,4615.9,4386.5,1892.4,1753.4,741.4,778.9
6379.9,5049.8,7003.9,6367.7,3541.4,3603.5,5289,5114.6,1510.6,1434.7,4190.6,4554.2,1678.6,1908.8,640.9,639.9
10631,11245.6,6806.8,5778,2961,3118.4,4256.7,4043,1267.2,1283.2,2685.9,2475.4,1094.6,1134.8,557.8,415.9
6728.2,4634.5,5730.6,5594.5,3172.7,3248.2,5146.9,4745.6,1436,1368.5,4048.3,3963.4,1658.4,1740,631.7,642.3
6705.9,5987.8,7609.6,7410.7,4197.4,4666.1,4999.2,5232.7,1621.4,1776.7,5042.1,4636.4,1715,2074.7,1010.8,697.6
8490.6,7888.4,6440.9,5949.2,3289.6,3201.2,4572.9,4717.3,1374.4,1306.9,3752.1,3784.3,1494.7,1937.5,390.3,604.9
3536.1,4408.5,7388.2,7081.6,3723.3,3865.8,6812.8,6285.4,1904.9,1786.7,4256,4341.7,1890.3,1974.4,606.9,690.1
3376.2,2790.4,5961.8,6219.6,2867.3,3082.6,5849.4,5558.9,1744.7,1681.5,3786.2,3621.2,1399.3,1395.2,661.2,683.2
9666.9,10113.9,7054.7,6770.4,3427.8,3720.6,6122.9,5816.4,1697.2,1676.6,3782,3787.1,1484.1,1669.6,608.7,561.8
5165.6,5613.9,6663,6239.9,3182.8,3343.8,4511.7,4791.9,1226,1202,3888.7,4010.3,1130.9,1352.9,577.2,532.6
3693.6,2573.9,7032.4,6388.5,3582,3651.3,4168.9,4316,1387.7,1548.2,4024.4,3596.1,1378.4,1608.7,322,432.1
5642.2,3723.4,5955.7,5962.3,3180.8,3379.3,5091.1,4577.9,1458.3,1526.8,3283.3,3376.1,1507.9,1780.9,634.3,516.8
9676.3,9505.9,5895.4,5830.1,3594.7,3815.1,4312.6,4385.1,1390.4,1309.3,3563.7,3595.9,1693,2225.2,451.4,598
5925.1,5900.1,6190.3,5230.1,3248.1,3340.2,4900.8,5025.8,1368.4,1341.3,3557.6,3502.4,1073.8,1792,312.2,463.2
2657.3,1675.6,6875.4,6552.7,3833.4,3816.2,5418.2,5077.6,1264.8,1492.6,3634,3847.9,1469.8,1453.1,603.8,640.7
30469.5,21114.7,6759.3,6416.8,4174.9,4286.8,5074.7,5723.7,1259.5,1462,3944.1,4455.6,1827.6,1987.6,665.2,887.6
9141.7,13403.1,6600.4,5847.1,3095.6,3455.8,5485.8,5285,1258.7,1326.3,3695.9,3640.8,1370.1,1651.7,593.1,601.3
7947.4,6380.7,7951.7,6771.1,3324.8,3487.2,5296,6116.2,1114.5,1386.9,3236.6,3019.1,1629.2,1684,650,677.2
4321.8,4396.5,6265.9,5578.2,2865.5,3287.3,5047.3,4501.1,1099.2,1281.9,4204.9,4107.6,1607.8,1698.1,693.5,688.2
12047.8,7702.8,8538.7,8661.4,3352.7,3422,6767.1,6420,1772.5,1645.1,4626.1,5293.1,1892.8,2235.3,608.7,787
13921,10329,7183.6,5693.5,2885.5,3017,4589.4,NA,1169.2,NA,3421.2,NA,1362.5,NA,468.5,359.2
11653.2,12785,7713.3,6985.9,3793.2,3672.4,7008.4,6577.7,1702.8,1683.4,4080.9,4201.1,1681.9,1945.9,601.2,778
4704.4,4140.4,7111.9,6950.4,3814,3976.8,5877,5520.2,1694.5,1384.4,3904.7,3829.1,1541.3,2183.8,650.3,566.5
4905,4697.3,9707.8,8410.9,3845,3780.6,7063.8,6606.1,1301.5,1857.6,5146.2,5002.9,1777.2,2269.8,600.7,782
5248.4,6207.1,7849.6,7221.5,3385.3,3208.9,5873.9,5616.6,1863.4,1799.2,4055.7,4052.6,1553.2,1570.5,621,650.7
8668.8,12743.2,8069.8,6911.8,3428.5,3451.1,4527.9,4692.6,1307.3,1394.7,5121.8,4582.9,1852.6,1780.9,475.4,575.2
4971.9,3981.9,8639.9,7899.5,4494,4460.2,5625.2,5946.5,1740.7,1848,4285.2,4266.5,1569.2,1720.2,566.1,604.6
